horse,added,expires,conf,tags,runs,win_hits,pla_hits,win_hit_pct,pla_hit_pct,win_roi,pla_roi,verdict,reasoning
CHATER FLASH,2026-04-10,2026-07-09,high,traffic|bad_draw,1,0,0,0.0,0.0,-1.0,-1.0,EXPIRE,"Dropped last from wide draw after jumping well, went on the inside and finished rapidly despite some traffic, lame leg after the race beaten"
RISING PHOENIX,2026-04-11,2026-07-10,medium,jockey_error,1,0,0,0.0,0.0,-1.0,-1.0,EXPIRE,"Jumped well, stayed wide throughout, tried to take the lead and did not find cover, stuck on well beaten barely"
YEE CHEONG RAIDER,2026-04-12,2026-07-11,medium,exceptional_performer,0,0,0,,,,,NO_RUNS,Exceptional performer: ran 0.62s faster than projected; placed from wide draw (12); model Rk#9 → P2 — unanticipated improvement
GORGEOUS VICTORY,2026-04-12,2026-07-11,medium,exceptional_performer,0,0,0,,,,,NO_RUNS,Exceptional performer: exceptional late speed (22.07s last section vs 23.71s avg early); ran 1.21s faster than projected; model Rk#9 → P3 — 
CALL ME SPARKLE,2026-04-13,2026-07-12,high,bad_run,0,0,0,,,,,NO_RUNS,"Caught 3 wide no cover because Conrad Patch jumped just as well to take his position, resilient and stuck on"
JUBILANT STAR,2026-04-13,2026-07-12,medium,traffic|jockey_error,0,0,0,,,,,NO_RUNS,"Took the inside lane on the straight, no room at all"
RED BRICK WARRIOR,2026-04-13,2026-07-12,medium,final_sectional,1,0,0,0.0,0.0,-1.0,-1.0,EXPIRE,"Rapid turn of foot, crossed the place runners at the wire"
ORIGIN OF FORM,2026-04-13,2026-07-12,medium,bad_draw|improvement,2,0,0,0.0,0.0,-1.0,-1.0,EXPIRE,"Dropped last from Gate 12, finished the race well when asked on the inside"
FATAL BLOW,2026-04-13,2026-07-12,medium,trial|bad_draw|bad_run,1,0,0,0.0,0.0,-1.0,-1.0,EXPIRE,"Dropped too far back from wide draw, went very wide at the turn and better than half the field, finished well despite lost ground"
FLASH CURRENT,2026-04-13,2026-07-12,medium,bad_draw|traffic,0,0,0,,,,,NO_RUNS,"Dropped last from gate, absolutely hampered on the straight with no room to improve"
ROMANTIC LAOS,2026-04-16,2026-07-15,medium,improvement|distance_change,1,0,0,0.0,0.0,-1.0,-1.0,EXPIRE,"Good run in the front, carried 134 lbs might have affect his finish beaten on the line"
VIVA TASTE,2026-04-16,2026-07-15,medium,improvement,1,0,0,0.0,0.0,-1.0,-1.0,EXPIRE,"Dropped in class, back to performing distance, previously beaten by Reliable profit (30/10/25) on course and distance, known roarer"
SPICY SPANGLE,2026-04-16,2026-07-15,high,slow_start,0,0,0,,,,,NO_RUNS,"Slow start nodding his head in the gate, gave position to Always My Folks, strong finish"
WAH MAY WAI WAI,2026-04-16,2026-07-15,high,slow_start|bad_run,0,0,0,,,,,NO_RUNS,"Squeezed at the jump, dropped last, immediately made the pace change to take the lead, asked all the way through, stuck on despite trip and "
RYUI KOKOROE,2026-04-16,2026-07-15,high,bad_draw,0,0,0,,,,,NO_RUNS,"Dropped last from Gate 12, stayed on the rail throughout improved at the bend, rapid coming through the horses and crossed the front after t"
FORZA TORO,2026-04-16,2026-07-15,medium,exceptional_performer|slow_start,0,0,0,,,,,NO_RUNS,"Missed the start by 5, made plenty of ground afterwards
Exceptional performer: placed from wide draw (10); closed from position 14 to finish"
LEGENDARY IMPACT,2026-04-16,2026-07-15,medium,stable_change,0,0,0,,,,,NO_RUNS,"From W K Mo to M Tsui, been close on several races in HV Class 4 1200, competitive in Class 5"
PARENTS' LOVE,2026-04-16,2026-07-15,medium,slow_start|bad_run,1,1,1,1.0,1.0,21.85,5.7,KEEP,"Missed the start previous race, unable to obtain the lead afterwards"
THE ALL ROUNDER,2026-04-16,2026-07-15,medium,improvement|profile_change,1,0,0,0.0,0.0,-1.0,-1.0,EXPIRE,"Flexible horse with different running styles, has been improving in recent races"
PROUD BOX,2026-04-16,2026-07-15,medium,traffic|bad_run,1,1,1,1.0,1.0,6.7,1.65,KEEP,"Jumps swiftly, took box-seat but shuffled further back, hampered immediately on the straight and was checked, shifted out and dash rapidly a"
SUPER MASTERMIND,2026-04-16,2026-07-15,low,bad_draw|final_sectional|improvement,1,0,0,0.0,0.0,-1.0,-1.0,EXPIRE,"Dropped last from Gate 14, made plenty of ground rapidly under slight persuasion, impressive"
FASHION LEGEND,2026-04-16,2026-07-15,high,final_sectional|bad_draw,1,0,0,0.0,0.0,-1.0,-1.0,EXPIRE,"Dropped last from Gate 14, incredible turn of foot on the straight, good flexibility in running style"
RUN RUN TIMING,2026-04-17,2026-07-16,medium,exceptional_performer,0,0,0,,,,,NO_RUNS,Exceptional performer: exceptional late speed (24.20s last section vs 25.06s avg early); ran 1.27s faster than projected; led/sat 2nd from s
MATTERS MOST,2026-04-17,2026-07-16,medium,exceptional_performer,0,0,0,,,,,NO_RUNS,Exceptional performer: ran 0.90s faster than projected; model Rk#8 → P2 — unanticipated improvement; led/sat 2nd from start — all-the-way ef
FORTUNATE SON,2026-04-17,2026-07-16,medium,exceptional_performer,0,0,0,,,,,NO_RUNS,Exceptional performer: exceptional late speed (23.60s last section vs 25.40s avg early); ran 0.90s faster than projected
SERAPH GABRIEL,2026-04-20,2026-07-19,high,traffic,0,0,0,,,,,NO_RUNS,"Badly help up on the straight, never established clear running lane"
SWORD POINT,2026-04-20,2026-07-19,medium,pace_not_suited|bad_run|improvement,0,0,0,,,,,NO_RUNS,"Fast-paced race, leading 3-wide from wide draw, showing improvement from dipped form"
VULCANUS,2026-04-20,2026-07-19,medium,improvement,0,0,0,,,,,NO_RUNS,"Took box-seat travelled really well, bumped slightly towards the end, strong finish"
ARIEL,2026-04-20,2026-07-19,medium,improvement|pace_not_suited,0,0,0,,,,,NO_RUNS,"Perservered despite fast-paced race, returning in form, competitive"
PERFECT TEAM,2026-04-20,2026-07-19,high,improvement|final_sectional,0,0,0,,,,,NO_RUNS,"Returning in form, kept finding clear lane on the straight, strong finish"
LET'S HAVE FUN,2026-04-20,2026-07-19,medium,improvement,0,0,0,,,,,NO_RUNS,"Good improvement, settled behind box-seat, good run"
MASTER PAYMENT,2026-04-20,2026-07-19,medium,exceptional_performer|traffic,0,0,0,,,,,NO_RUNS,"Held up at the 300M, needed to push his way out, rapid finish and could've won otherwise"
CHEER FOR SOUTH,2026-04-20,2026-07-19,medium,bad_draw|improvement|profile_change,0,0,0,,,,,NO_RUNS,"Settled 3 wide from Gate 11, dropped back, shifted out well on the straight, hampered last otherwise had a strong finish"
WINNING CHAMPION,2026-04-20,2026-07-19,high,bad_run|strong_field,1,0,1,0.0,1.0,-1.0,0.4,EXPIRE,"Jumped well but forced to settle wide, 3-wide no cover all the way through, rapid despite trip"
HEALTHY HEALTHY,2026-04-20,2026-07-19,medium,vet,1,0,0,0.0,0.0,-1.0,-1.0,EXPIRE,"Bled previous run, previously beaten by Candlelight Dinner (2 winners C3)"
BRILLIANT FIRE,2026-04-20,2026-07-19,medium,trial|improvement,1,0,0,0.0,0.0,-1.0,-1.0,EXPIRE,"Hard held early in the trial, let go and finished rapidly with no persuasion"
SHOOTING TO TOP,2026-04-20,2026-07-19,medium,improvement,1,1,1,1.0,1.0,5.25,1.3,KEEP,"Strong debut finished the race very rapidly from almost last, last start caught wide all the way through hang on"
YOUNG ARROW,2026-04-20,2026-07-19,medium,bad_run|bad_draw,1,0,1,0.0,1.0,-1.0,1.15,WATCH,"wide all the way through without cover, still finished strongly"
JOLLY COMPANION,2026-04-20,2026-07-19,medium,traffic|slow_start,1,0,0,0.0,0.0,-1.0,-1.0,EXPIRE,"Slow starter now ridden cold, stayed on the rail, rapid when called upon but hampered before the wire"
LITTLE MONSTER,2026-04-20,2026-07-19,medium,bad_draw|bad_run,1,0,0,0.0,0.0,-1.0,-1.0,EXPIRE,"Pushed forward from wide draw, caught wide all the way through, stuck on"
CENTRAL BANK,2026-04-20,2026-07-19,high,trial|improvement,1,0,0,0.0,0.0,-1.0,-1.0,EXPIRE,"Missed the start previous start, looks incredible in the trial, motionless and ran rapidly, but would need confirmation"
CASA OF HONOR,2026-04-20,2026-07-19,medium,trial,1,1,1,1.0,1.0,21.25,3.6,KEEP,"Incredible showing on ST 1000 under Kingscote, strong trial to follow it up with, motionless nearly won"
HYANNIS STAR,2026-04-22,2026-07-21,medium,trial|improvement,0,0,0,,,,,NO_RUNS,"Swift jump, recent trial placed under held, rapid when lane opened without persuasion, horse looked to be improved"
BUNTA BABY,2026-04-22,2026-07-21,high,bad_draw|bad_run,0,0,0,,,,,NO_RUNS,"Wide throughout, still finished very well beaten narrowly on the straight"
HAPPY UNITED,2026-04-23,2026-07-22,high,traffic|improvement,0,0,0,,,,,NO_RUNS,"Improved performance from previous race, squeezed hard and put to a holt when Beauty Show laid in and King Profit laid out"
SHAMZ,2026-04-23,2026-07-22,high,trial|improvement,0,0,0,,,,,NO_RUNS,"Has been running closer in Class 3 races, improved immensely in the trial, box-seat hard held, beaten Ka Ying Generation and Nautical Force"
HAPPY PROMISE,2026-04-24,2026-07-23,medium,trial,0,0,0,,,,,NO_RUNS,"Trainer suggested he is a winning chance on debut, improved in trials but still a bit green settling behind horses and pulling slightly, but"
SOLID CAR,2026-04-24,2026-07-23,high,vet,0,0,0,,,,,NO_RUNS,"Ridden handy in the recent trial, not tested but finished strongly, previously beaten by Hot Delight"
BETTER AND BETTER,2026-04-24,2026-07-23,high,improvement|bad_draw|trial,0,0,0,,,,,NO_RUNS,"Beaten winner Vigor Eye from 3 wide, ridden handy in the trial completely effortless win, looks to be improving still"
MR INCREDIBLE,2026-04-24,2026-07-23,medium,traffic,0,0,0,,,,,NO_RUNS,"Hampered on the straight last start when leaders are still making ground, could've produced a stronger finish with an open lane"
DAILY ACCLAIM,2026-04-24,2026-07-23,medium,improvement,0,0,0,,,,,NO_RUNS,"Ran well on debut, trialed in handy position, effortless win stalking leader"
MIGHTY COMMANDER,2026-04-24,2026-07-23,medium,distance_change,0,0,0,,,,,NO_RUNS,"Decent form, hampered previous start, can be ridden warmer, won over the mile, should benefit from longer trip"
WINDLORD,2026-04-24,2026-07-23,medium,improvement|traffic,0,0,0,,,,,NO_RUNS,"Slow-paced race previous start, hampered until the final 200, found open lane late and improved quickly"
ENDUED,2026-04-24,2026-07-23,medium,traffic,0,0,0,,,,,NO_RUNS,Completely hampered on the straight
GUTSY BRAVO,2026-04-26,2026-07-25,high,bad_draw|pace_not_suited,0,0,0,,,,,NO_RUNS,"Slow at the jump, dead last on top of the straight, rapid progression once asked and crossed the field after the wire"
CELESTIAL HERO,2026-04-26,2026-07-25,medium,bad_run,0,0,0,,,,,NO_RUNS,"Caught wide no cover the entire race, still ran well"
SAVVY BRILLIANT,2026-04-26,2026-07-25,high,jockey_error|traffic,0,0,0,,,,,NO_RUNS,"Settled behind box-seat, absolutely hampered on the straight, could've finished better"
DROMBEG BANNER,2026-04-26,2026-07-25,medium,improvement,0,0,0,,,,,NO_RUNS,Demonstrated good resilience when challenged and overtaken on the straight
NATURAL NUMBERS,2026-04-26,2026-07-25,medium,bad_run,0,0,0,,,,,NO_RUNS,"Race three wide without cover, finished well despite trip"
LUCKY BALERION,2026-04-26,2026-07-25,medium,traffic,0,0,0,,,,,NO_RUNS,"Bit slow at the start, boxed in completely, only found open lane at 100"
LEGENDARY YEARS,2026-04-26,2026-07-25,medium,improvement,0,0,0,,,,,NO_RUNS,"made ground from the rail when called upon, progressed well"
SPLENDID FORCE,2026-04-27,2026-07-26,medium,improvement|bad_draw,1,0,1,0.0,1.0,-1.0,3.55,KEEP,"Dropped last from wide draw, out-paced before the bend, stayed on the rail and rapid when called upon"
AMO ERGO SUM,2026-04-27,2026-07-26,medium,improvement|final_sectional|bad_draw,1,0,0,0.0,0.0,-1.0,-1.0,EXPIRE,"Finished the race well from being outpaced, finished strong amongst the herd crossing most of the field"
LEGEND STAR,2026-04-27,2026-07-26,medium,bad_draw|bad_run,1,0,0,0.0,0.0,-1.0,-1.0,EXPIRE,"Very wide all the way through trying to stay in the front, finished OK depsite trip"
WINNING NOW,2026-04-28,2026-07-27,medium,distance_change,1,0,1,0.0,1.0,-1.0,0.75,WATCH,"Strong trial on 16 Mar showing good early pace, led all the way and won with ease, 1400 might not be be best suited for him, drop in distanc"
FLYING WROTE,2026-04-29,2026-07-28,medium,traffic,0,0,0,,,,,NO_RUNS,"Encountered plenty of traffic on the straight, shifted in the finish, stuck on"
